[run number],reproducable?,rnd-seed,which-map,land-use-change-decision,sim-time,price_scenario,price-fluctuation-percent,historical_smoothing,LUT-0-folder,LUT-0-price,LUT-0-price-mu,LUT-0-price-sd,LUT-1-folder,LUT-1-price,LUT-1-price-mu,LUT-1-price-sd,consumption-on?,consumption_base,consumption_frac_cash,consumption_frac_wealth,heterogeneous-hhs?,learning-spillover?,setup-hh-network,hh-nw-param1,hh-nw-param2,spillover-share,h_debt_years_max_bankrupt,landmarket?,buyer_pool_n,immigrant_probability,land_price_increase,immigrant-xp-bonus,immigrant-wealth-factor,initial-wealth-distribution,init-wealth-correction-factor,wealth-log-mean,wealth-log-sd,wealth-constant,min-wealth,time-horizon,discount-rate,land_price,external_income,rent_rate_capital_lend,rent_rate_capital_borrow,rent_rate_land,hh_age_alpha,hh_age_lambda,hh_age_min,hh_age_max,age_generation,takeover_prob,ecol_biodiv_interval,biodiv_birds,biodiv_plants,biodiv_invest_objective,allow-fallow?,go-once-profiler?,SHOW-OUTPUT?,write-maps?,write-hh-data-to-file?,export-view?,show-homebases?,show-roads?,idrunnum,[step],lut0.carbon,lut1.carbon,lut0.price,lut1.price,lut0.fraction,lut1.fraction,lut0.yield.sum,lut1.yield.sum,lut0.yield.mean,lut1.yield.mean,hh.count,hh.count.immigrant,hh.area.sum,hh.area.mean,hh.consumption.sum,hh.consumption.mean,p.sar,p.tinput.sum,p.tinput.mean,p.capitalstock.sum,p.capitalstock.mean,area_under_agriculture,siminputrow
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,10,3432.6366625504343,11410.140656165297,90,1100,0.19489414694894147,0.8051058530510585,2760.2,1348.519,30.002,14.658,92,0,1554,16.891,6773.273907245317,6773.273907245317,0,99110.61100603516,9.911061100603517,289600.17655703926,28.960017655703925,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,11,3169.4165209750063,12070.276289458152,90,1100,0.17683686176836863,0.8231631382316313,2471.55,1379.755,26.865,14.997,92,0,1554,16.891,7174.640658606527,7174.640658606527,0,94608.11100603516,9.460811100603516,277907.26582909585,27.790726582909585,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,12,2660.0670619557263,12370.197097520006,90,1100,0.14694894146948942,0.8530510585305106,2029.35,1405.929,22.058,15.282,92,0,1554,16.891,7540.603059860147,7540.603059860147,0,86358.16023638038,8.635816023638037,263094.58652739227,26.309458652739227,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,13,2366.8736342459697,12674.996141629172,90,1100,0.12889165628891655,0.8711083437110835,1754.95,1426.967,19.076,15.511,92,0,1554,16.891,7893.591792699538,7893.591792699538,0,81413.11100603516,8.141311100603517,255686.6590427424,25.56866590427424,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,14,2202.0968919933725,13247.336486933493,90,1100,0.11768368617683686,0.8823163138231631,1575.7,1467.144,17.315,16.122,91,0,1544,16.967,8293.625808749148,8293.625808749148,0,79358.11100603516,7.935811100603517,252748.10252342984,25.274810252342984,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,15,1487.370412521912,13753.44166050108,90,1100,0.07907845579078455,0.9209215442092156,1030.85,1464.955,11.583,16.46,89,0,1533,17.225,8756.913373498406,8756.913373498406,0,67550.61100603513,6.7550611006035135,241575.8808517804,24.15758808517804,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,16,850.1404975109551,13715.407724491237,90,1100,0.04545454545454545,0.9545454545454546,563.75,1430.613,6.334,16.074,89,0,1533,17.225,8993.243316663797,8993.243316663797,0,55910.61100603515,5.591061100603515,234545.06123535708,23.454506123535708,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,17,596.0722636187627,14099.48961304718,90,1100,0.03175591531755915,0.9682440846824408,370.6,1448.419,4.164,16.274,89,0,1533,17.225,9253.021412463802,9253.021412463802,0,52440.61100603515,5.244061100603515,237756.4735302977,23.77564735302977,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,18,472.2752561408019,14090.921909654557,90,1100,0.024906600249066,0.975093399750934,272.3,1448.419,3.166,16.842,86,0,1495,17.384,9605.89328585096,9605.89328585096,0,51793.11100603514,5.179311100603514,236979.11887154568,23.697911887154568,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,19,269.9532391290002,14438.83150505558,90,1100,0.01432129514321295,0.9856787048567872,126,1483.766,1.465,17.253,86,0,1495,17.384,9877.758838207508,9877.758838207508,0,49885.61100603514,4.988561100603514,237874.25956229272,23.78742595622927,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,20,85.53900003786545,14879.140959512551,90,1100,0.0049813200498132,0.9950186799501868,0,1500.337,0,17.651,85,0,1492,17.553,10219.262651617328,10219.262651617328,0,47823.11100603515,4.782311100603515,239335.48833826225,23.933548833826222,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,21,85.53900003786545,15220.55784719502,90,1100,0.0049813200498132,0.9950186799501868,0,1555.958,0,18.305,85,0,1492,17.553,10512.130315732236,10512.130315732236,0,49960.61100603515,4.996061100603515,241523.17430685187,24.152317430685187,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,22,85.53900003786545,14652.686959192892,90,1100,0.0049813200498132,0.9950186799501868,0,1585.309,0,18.651,85,0,1492,17.553,10796.596630008167,10796.596630008167,0,50710.61100603515,5.071061100603515,238236.9893948753,23.82369893948753,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,23,85.53900003786545,14863.036952363373,90,1100,0.0049813200498132,0.9950186799501868,0,1598.465,0,18.805,85,0,1492,17.553,11066.704094832694,11066.704094832694,0,50823.11100603515,5.082311100603515,241209.2632775084,24.120926327750837,401.5,1
1,FALSE,3478436,hundred-farmers3,only-one-field-per-year,50,constant_prices,10,0,oilpalm,90,1.9,1.9,rubber,1100,11,11,TRUE,1000,0.1,0.05,FALSE,FALSE,hh-nw-kernel-distance,10,50,1,5,FALSE,20,0.5,0.05,[0 0],1,log-normal,10,7,1,10000,30,10,0.1,750,500,0.1,0.1,0.1,14.24,0.31,18,80,40,0.5,1,none,none,general,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,C0_with_hhage_1832502622_1,24,85.53900003786545,15341.125966244834,90,1100,0.0049813200498132,0.9950186799501868,0,1593.324,0,19.197,83,0,1452,17.494,11316.250288899242,11316.250288899242,0,52210.61100603514,5.221061100603515,243441.5664377584,24.344156643775843,401.5,1
