"BehaviorSpace results (NetLogo 5.3.1)"
"J:\Jan\LUC_3\model\scr\my_luc_model.nlogo"
"js_2016_sc11"
"03/10/2017 13:47:44:484 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","price-fluctuation-%","which-map","same-wealth","patch-age","land-use-change-decision","setlanduse","op-inefficiency-alpha","consumption_base","learning-spillover?","land-use-change?","price_scenario","initial-wealth","rb-inefficiency-alpha","heterogenous-hhs?","setup-hh-network","palm-oil-price","rubber-price","rb-price-mu","rb-inefficiency-lambda","min-wealth","op-inefficiency-lambda","consumption_frac_wealth","reproducable?","consumption-on?","consumption_frac_cash","time-horizon","rb-price-sd","discount-rate","log-normal-sd","hh-nw-param1","op-price-mu","export-view?","log-normal-mean","hh-nw-param2","write-hh-data-to-file?","op-price-sd","write-maps?","spillover-share","[step]","count turtles","pcount_op","pcount_rm","pcount_ra","pcount_fo","oilpalm_carbon","rubberagro_carbon","rubbermono_carbon","big_plantation_carbon","forest_carbon","oilpalm_total_carbon","rubber_total_carbon","area_under_agriculture","op_price","rubber_price","mean [h_wealth] of turtles","standard-deviation [h_wealth] of turtles","mean [h_consumption] of turtles","standard-deviation [h_consumption] of turtles","mean [h_fixconsumption] of turtles","standard-deviation [h_fixconsumption] of turtles","mean [h_varconsumption] of turtles","standard-deviation [h_varconsumption] of turtles","mean [h_netcashflow] of turtles","standard-deviation [h_netcashflow] of turtles","min_hh_consumption","max_hh_consumption","yield_op_all_hh_mean","yield_rm_all_hh_mean","yield_gap_op_all_hh_mean","yield_gap_rm_all_hh_mean"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","10","97","0.17","0.83","0","0","2956.8086983036856","0","11945.215979978528","0","365580","2956.8086983036856","11945.215979978528","400","90","1100","95460.4331096292","136377.40481679488","6748.276658747755","8156.261323918779","5421.13838510025","6302.70754241964","1327.138273647506","1888.4773074562875","13247.31990679307","18902.059421505943","1001.5","68039.88443845385","25.2995","13.9623","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","11","96","0.14912280701754385","0.8508771929824561","0","0","2622.07770300779","0","12519.452233814472","0","365760","2622.07770300779","12519.452233814472","399","90","1100","103361.01737625654","146272.1788710501","7179.673509610664","8661.922577332054","5822.725006059393","6836.978858171501","1356.948503551273","1861.5721872280817","13553.406560095877","18627.66817181052","1001.5","72338.93533983518","22.1854","14.6184","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","12","94","0.14826498422712933","0.8517350157728707","0","0","2659.508010369856","0","12731.554560223498","0","366255","2659.508010369856","12731.554560223498","396.25","90","1100","112429.0817830431","156415.43282492593","7682.472779620778","9214.951149741495","6277.977483042889","7352.06855565555","1404.4952965778878","1893.8552853957378","14031.14913032506","18948.992962214837","1001.5","76619.67880857844","22.0158","15.2036","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","13","92","0.14631043256997456","0.8536895674300254","0","0","2667.8964194868463","0","12789.894886426837","0","366840","2667.8964194868463","12789.894886426837","393","90","1100","121411.04577634731","165985.42985158775","8163.78278759311","9712.094385550068","6743.627004133725","7861.265901139396","1420.1557834593834","1884.8230518228627","14191.213542709986","18856.19251561309","1001.5","80501.10348122129","21.6704","15.4009","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","14","91","0.10962396430847673","0.8903760356915232","0","0","2005.3118161369007","0","13109.182407938013","0","366975","2005.3118161369007","13109.182407938013","392.25","90","1100","128959.93235544942","174429.0562257828","8565.465431787456","10142.005025424916","7137.245171112062","8320.424272510176","1428.220260675391","1877.7710239571315","14274.86679173957","18783.426165246434","1001.5","84304.5131700173","16.4896","15.9877","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","15","91","0.0841300191204589","0.9158699808795411","0","0","1560.6225323708466","0","13497.026732182328","0","366975","1560.6225323708466","13497.026732182328","392.25","90","1100","134658.37755549847","182150.26418968278","8854.959286175113","10553.63622796719","7447.996617772475","8721.452811289142","1406.9626684026396","1890.1897937572871","14047.805849837052","18918.641878602557","1001.5","88071.4124677541","12.5357","16.0687","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","16","91","0.052262587635436585","0.9477374123645634","0","0","978.8333280602067","0","13607.247684521757","0","366975","978.8333280602067","13607.247684521757","392.25","90","1100","139660.84552519963","188657.29423732308","9095.118148984102","10846.964282113755","7732.918877774928","9107.513209484141","1362.1992712091733","1800.2889659403431","13592.01087120602","18026.251916803183","1001.5","90510.97700103643","7.7352","15.937","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","17","91","0.027405991077119184","0.9725940089228808","0","0","513.7790695177964","0","13830.285145438476","0","366975","513.7790695177964","13830.285145438476","392.25","90","1100","144240.17990835334","194742.29007382083","9326.620452092282","11160.743194313378","7983.042276259978","9432.864711866154","1343.5781758322978","1784.1538524010675","13400.397363739577","17868.911325834677","1001.5","93360.8864938218","4.0544","16.0425","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","18","90","0.015964240102171137","0.9840357598978289","0","0","303.17929439809285","0","14050.622495314683","0","367110","303.17929439809285","14050.622495314683","391.5","90","1100","150163.2418951711","200754.14082324223","9642.848067574476","11463.383117027859","8292.125762033416","9761.45640645153","1350.722305541056","1766.505516642246","13463.574722077226","17699.354155292032","1895.6969754537088","95822.51758208367","2.3578","16.2625","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","19","90","0","1","0","0","0","0","14372.59065496773","0","367110","0","14372.59065496773","391.5","90","1100","154245.4255899275","206166.32099480223","9857.340120754041","11757.306672529614","8508.162094758558","10037.707041162113","1349.1780259954837","1786.8480626468902","13439.523815510389","17909.02661143905","1908.1934731130264","98520.4225054375","0","16.4534","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","20","90","0","1","0","0","0","0","14359.021314700112","0","367110","0","14359.021314700112","391.5","90","1100","158406.700550951","212226.26116124005","10092.232016097345","12129.096169625866","8712.27127949637","10308.316049740111","1379.960736600972","1874.9513369817869","13753.50697712083","18784.30444172628","1824.0337994573752","101707.58555692283","0","16.8465","0","0"
